home_id,Title,Address,Name,Beds,Baths,UnitNumber,Price,Sqft,Longitude,Latitude,Days on zillow,Contacts,Availability,Subsidized,Unit features,Unit listing url,Building amenities,Zillow url,Property website,Leasing Agent,scrapeDate
340055695,,"2147 N 8th St, # A, Philadelphia, PA 19122",,3,3,Unit A,1950,,-75.1467,39.984486,2,2,,No,,,,https://www.zillow.com/b/2147-n-8th-st-philadelphia-pa-9PX9jR/,,levy,2024-03-25
2065620999,,"Grace 408 N 41st St, # 1F, 408 N 41st St, Philadelphia, PA 19104",,5,2,Unit 1F,2620,1850,-75.20569,39.96041,27,7,,No,,,,https://www.zillow.com/b/grace-408-n-41st-st-philadelphia-pa-5YDQkk/,,Tripalink Philly,2024-03-25
2065620889,,"Grace 408 N 41st St, # 2F, 408 N 41st St, Philadelphia, PA 19104",,3,2,Unit 2F,2330,1500,-75.20569,39.96041,27,0,,No,,,,https://www.zillow.com/b/grace-408-n-41st-st-philadelphia-pa-5YDQkk/,,Tripalink Philly,2024-03-25
2090534431,,"4520 Springfield Avenue, APT C1, 4520 Springfield Ave, Philadelphia, PA 19143",,2,1,Unit C1,1800,,-75.21276,39.94794,11,2,,No,,,,https://www.zillow.com/b/4520-springfield-avenue-philadelphia-pa-5fwjF4/,,Deena Kleinberg - Powelton Properties,2024-03-25
10594180,,"1735 W Montgomery Avenue, 1735 W Montgomery Ave, Philadelphia, PA 19121",,3,2,,1700,1000,-75.16365,39.9812,137,10,,No,,,,https://www.zillow.com/b/1735-w-montgomery-avenue-philadelphia-pa-5XnDdn/,,Philly Living Management Group,2024-03-25
340048829,,"2233 N 10th St, # C, Philadelphia, PA 19133",,2,2,Unit C,1800,,-75.14916,39.986206,2,1,,No,,,,https://www.zillow.com/b/2233-n-10th-st-philadelphia-pa-9PXZcF/,,levy,2024-03-25
340048370,,"2233 N 10th St, # B, Philadelphia, PA 19133",,2,2,Unit B,1700,,-75.14916,39.986206,2,1,,No,,,,https://www.zillow.com/b/2233-n-10th-st-philadelphia-pa-9PXZcF/,,levy,2024-03-25
2103375091,,"1936 N 17th St, APT 1R, Philadelphia, PA 19121",,3,2,Unit 1R,1950,,-75.16204,39.983585,177,4,,No,,,,https://www.zillow.com/b/1936-n-17th-st-philadelphia-pa-5YCsD8/,,Deena Kleinberg - Powelton Properties,2024-03-25
2103409183,,"1936 N 17th St, APT 1F, Philadelphia, PA 19121",,3,2,Unit 1F,1950,,-75.16204,39.983585,6,7,,No,,,,https://www.zillow.com/b/1936-n-17th-st-philadelphia-pa-5YCsD8/,,Deena Kleinberg - Powelton Properties,2024-03-25
345023020,,"1422 N 7th St, # A4, 1422 N 7th St, Philadelphia, PA 19122",,2,2,Unit A4,2200,1400,-75.14779,39.97369,6,0,,No,,,,https://www.zillow.com/b/1422-n-7th-st-philadelphia-pa-9PX7hZ/,,OFIR KOMERIAN,2024-03-25
